Name;RD;Proto;Interface;
CSC_STEP_TEST;65500:777;ipv4;BD777;
EVPN-50;65000:905;ipv4;Lo321;
HP_IUM;65000:510;ipv4;BD60;
IPTV;65000:90;ipv4;BD1210;
IXIA_BGP;65000:100000000;ipv4;BD500;
LTE_LTE;65000:803;ipv4;BD2001;
LTE_OAM;65000:804;ipv4;BD3001;
MGMT;65000:65000100;ipv4;Lo2;
PWR_MGMT;65000:99;ipv4;BD3501;
SYSTEM_112_OAM;28840:2001;ipv4;BD4028;
SYSTEM_112_RTP;28840:2000;ipv4;BD4029;
SYSTEM_112_RTP;28840:2000;ipv4;BD4030;
securedvor;65000:1315;ipv4;BD399;
