Hostname;Version;Model;Reload_reason;Confreg;Uptime;
LAB-ASR903-PE-01;16.9.5;cisco ASR-903;Reload Command;0x2102;6 weeks, 5 days, 18 minutes;
TLC-RUES-PE3-01;12.2(33)SRE9;cisco CISCO7606;Normal Reload;0x2102;6 years, 40 weeks, 4 days, 7 hours, 56 minutes;
