vlan_id;name;status;interfaces;
2105;GIST_MCHS_112;active;[];
2113;EGE_2015;active;[];
3001;LTE_OAM;active;[];
3002;tcu_oam;active;[];
3004;lte_energomera_monitoring;active;[];
3300;GIST_MGMT_ADMINISTRACIYA;active;[];
3301;GIST_ADMINISTRACIYA_LVS;active;[];
3302;GIST_ADMINISTRACIYA_VKS;active;[];
3303;GIST_TODK_Lenina,80a;active;[];
3304;GIST_SOC_ZASHITA_Bolshaya,Nagorn;active;[];
3305;GIST_SIK;active;[];
3306;GIST_CRB_STOMATOLOGIYA;active;[];
3307;GIST_CRB_Lenina,35;active;[];
3308;GIST_ROVD_Tatarstan,21;active;[];
3309;GIST_MFC_F.Xusni,6;active;[];
3310;GIST_MCHS_Nagornaya,3;active;[];
3311;GIST_Tyulyachinskaya_SOSH;active;[];
3312;GIST_BOLSHIE_NYRSY;active;[];
3313;GIST_POLIKLINIKA_Lenina,35;active;[];
3314;GIST_BUBJETNAYA_PALATA;active;[];
3315;GIST_XOZ_KONTORA_B.Nagornaya,42;active;[];
3316;GIST_SUD_UCH_Sovetskaya40;active;[];
3317;DUSSH_UNNOST;active;[];
3318;GIST_Centr_Bugh;active;[];
3319;GIST_SOSH_B_Mesha;active;[];
3320;GIST_SOSH_2401;active;[];
3321;GIST_BURO_TEH_INVENT;active;[];
3400;ROSTELECOM_UCN_Aidarovo;active;[];
3401;ROSTELECOM_UCN_Bolshie_Nirsy;active;[];
3402;ROSTELECOM_UCN_Balandysh;active;[];
3403;ROSTELECOM_UCN_Balykly;active;[];
3404;ROSTELECOM_UCN_Bolshaya_Mesha;active;[];
3405;ROSTELECOM_UCN_Bolshie_Kibya_Koz;active;[];
3406;ROSTELECOM_UCN_Berxnie_Kibya_Koz;active;[];
3407;ROSTELECOM_UCN_Komarovka;active;[];
3408;ROSTELECOM_UCN_Maksabash;active;[];
3409;ROSTELECOM_UCN_Suash;active;[];
3410;ROSTELECOM_UCN_Starye_Zuri;active;[];
3411;ROSTELECOM_UCN_Sharmashi;active;[];
3501;-=PWR_MGMT=-;active;[];
4000;-=PTP_INET_LINK=-;active;[];
4003;-=Nortel_OAM_PtP_LINK1=-;active;[];
4004;-=Nortel_NGN_PtP_LINK1=-;active;[];
4006;-=Nortel_OAM_PtP_LINK2=-;active;[];
4007;-=Nortel_NGN_PtP_LINK2=-;active;[];
4028;SYSTEM_112_OAM;active;[];
4029;SYSTEM_112_RTP;active;[];
4087;-=NORTEL_VOIP_NGN=-;active;[];
4089;-=NORTEL_VOIP_OAM=-;active;[];
